Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-47.69576,-60.12625712,3,2010,154.2547425,-0.512,34.47268969,-0.32,-99.9,,Brown et al. (2014)
-42.95983795,-60.7598533,3,2010,5.304691579,-0.2626,33.80732863,-0.32,-99.9,,Brown et al. (2014)
-35.47556975,-60.30327887,4,2010,82.14813157,-0.4395,34.23769443,-0.32,-99.9,,Brown et al. (2014)
-32.80843818,-59.90004475,4,2010,0,-0.1842,34.10314159,-0.32,-99.9,,Brown et al. (2014)
-27.22842879,-60.8267496,4,2010,0,-0.387341342,34.64759596,-0.32,-99.9,,Brown et al. (2014)
-24.26111279,-61.23080109,4,2010,0,-1.2973,34.44144081,-0.32,-99.9,,Brown et al. (2014)
29.9968,-56.0088,2,2008,0,1.6047,33.9418,-0.32,-99.9,,Brown et al. (2014)
29.9959,-56.9991,2,2008,0,1.4422,33.9895,-0.32,-99.9,,Brown et al. (2014)
30.0003,-57.9998,2,2008,0,1.4415,33.8894,-0.32,-99.9,,Brown et al. (2014)
30.0003,-57.9998,2,2008,0,1.4234,33.8854,-0.32,-99.9,,Brown et al. (2014)
29.998,-63.0011,2,2008,0,0.6509,33.8123,-0.32,-99.9,,Brown et al. (2014)
30.1562,-66.0003,3,2008,0,-1.1426,34.2196,-0.32,-99.9,,Brown et al. (2014)
29.9981,-68.0001,3,2008,0,-1.6829,34.3362,-0.32,-99.9,,Brown et al. (2014)
31.2575,-68.3196,3,2008,0,-0.7024,34.0397,-0.32,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.471,34.3299,-0.32,-99.9,,Brown et al. (2014)
32.5117,-68.1081,3,2008,0,-1.4864,33.7258,-0.32,-99.9,,Brown et al. (2014)
-9.04,-60.4008,1,2009,0,-0.4774,34.6448,-0.318367965,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-1.7577,34.1927,-0.317395138,-99.9,,Brown et al. (2014)
18.9898,-57.2301,1,2009,0,-0.5349,33.8788,-0.315329949,-99.9,,Brown et al. (2014)
30,-53.5,2,2008,0,1.3951,34.0632,-0.313875756,-99.9,,Brown et al. (2014)
-54.1711969,-60.9638972,3,2010,701.7925959,-0.2183,34.56657046,-0.31,-99.9,,Brown et al. (2014)
-54.1711969,-60.9638972,3,2010,603.1824171,-0.3193,34.53629599,-0.31,-99.9,,Brown et al. (2014)
-49.27944131,-60.206853,3,2010,77.16267621,-0.3324,34.36689892,-0.31,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,202.3689118,-0.7305,34.42881244,-0.31,-99.9,,Brown et al. (2014)
-46.76861793,-60.35475485,3,2010,102.1854255,-0.3436,34.21278577,-0.31,-99.9,,Brown et al. (2014)
-42.79000079,-60.73994343,3,2010,51.48454787,-0.6064,33.9416163,-0.31,-99.9,,Brown et al. (2014)
-42.08962296,-60.6298,4,2010,82.49123592,0.263,34.24680281,-0.31,-99.9,,Brown et al. (2014)
-41.82996568,-60.58995609,4,2010,2966.818329,-0.278409671,34.65084472,-0.31,-99.9,,Brown et al. (2014)
-41.69126974,-60.56990352,4,2010,54.6450859,0.7796,34.10894971,-0.31,-99.9,,Brown et al. (2014)
-41.69126974,-60.56990352,4,2010,29.83118272,0.7707,34.10803163,-0.31,-99.9,,Brown et al. (2014)
-40.98002823,-60.46987642,4,2010,51.8057731,0.6544,34.08079907,-0.31,-99.9,,Brown et al. (2014)
